EmployeeID,FirstName,LastName,Department,Position,Salary,HireDate
1001,Jose,Collins,HR,HR Manager,60715,2025-07-12
1002,Katherine,Pitts,HR,Recruiter,48779,2024-10-31
1003,Sherry,Scott,HR,HR Manager,83554,2021-08-20
1004,Douglas,Silva,Finance,Financial Analyst,57016,2019-12-21
1005,Timothy,Duncan,HR,Recruiter,73154,2022-11-02
1006,Michael,Kaiser,Finance,Financial Analyst,83408,2020-09-14
1007,Brett,Melton,Finance,Financial Analyst,46095,2018-12-28
1008,Sarah,White,Operations,Coordinator,78516,2023-10-07
1009,Caitlin,Richardson,Marketing,SEO Specialist,74426,2021-02-06
1010,Charles,Stephens,Operations,Operations Analyst,70903,2025-03-01
1011,Joseph,Bernard,Operations,Project Manager,48908,2023-12-02
1012,Arthur,Mcdonald,Marketing,Brand Manager,79795,2025-08-24
1013,Heather,Snyder,Sales,Sales Executive,56313,2022-04-06
1014,Ashley,Stokes,IT,System Administrator,89294,2023-09-05
1015,Kenneth,Wilson,Sales,Account Manager,70489,2024-05-06
1016,Jenna,Walker,Finance,Auditor,85359,2021-09-12
1017,Micheal,Jarvis,IT,Software Engineer,66365,2024-07-27
1018,Lauren,Hartman,Sales,Sales Executive,89266,2021-08-23
1019,Ariel,Cook,Sales,Sales Executive,57478,2022-05-30
1020,Jaclyn,Nixon,HR,Recruiter,75038,2017-03-22
1021,Alexander,Jones,IT,Data Scientist,51955,2021-09-16
1022,Jonathan,White,IT,Software Engineer,86225,2024-11-27
1023,Heather,Gordon,IT,System Administrator,73323,2024-09-13
1024,Dustin,White,Finance,Auditor,55219,2024-05-08
1025,Gina,Forbes,Operations,Operations Analyst,66875,2023-03-24
1026,Kristin,Williams,Marketing,SEO Specialist,60025,2021-04-10
1027,Joseph,Gutierrez,HR,Recruiter,80189,2026-04-16
1028,Crystal,Parker,Operations,Operations Analyst,78361,2022-04-03
1029,Nancy,Boyer,HR,Training Specialist,46975,2018-11-14
1030,John,Macias,Finance,Accountant,50894,2023-10-10
1031,Diana,Wright,Operations,Operations Analyst,51738,2020-04-08
1032,Janice,Francis,IT,Data Scientist,81946,2024-08-14
1033,Brenda,James,HR,Training Specialist,59110,2018-01-06
1034,Julie,Walton,Finance,Accountant,75624,2017-03-12
1035,Paige,Hall,HR,HR Manager,64568,2019-07-23
1036,Christina,Kim,HR,Recruiter,75151,2019-10-18
1037,Joseph,Buckley,HR,Training Specialist,81291,2018-09-02
1038,Dennis,Jackson,Finance,Auditor,77665,2022-09-20
1039,Brooke,Roberts,Operations,Operations Analyst,46516,2022-05-01
1040,Michael,Shaw,Finance,Auditor,73252,2018-02-27
1041,Erin,Jacobs,HR,Training Specialist,59067,2023-07-22
1042,Jeffrey,Rice,IT,Data Scientist,50255,2024-01-08
1043,Jaime,Martin,HR,Training Specialist,78154,2019-06-11
1044,Jacob,Jefferson,Sales,Sales Executive,79754,2019-06-18
1045,James,Parker,Finance,Auditor,86393,2025-08-29
1046,Ellen,Martinez,Finance,Financial Analyst,76247,2017-12-20
1047,Michael,Johns,Finance,Accountant,48773,2026-04-21
1048,Erika,Graham,Marketing,Content Strategist,80479,2023-10-31
1049,Virginia,King,IT,System Administrator,83253,2016-06-28
1050,Angela,Foster,Finance,Accountant,87971,2020-10-30
1051,Samantha,Henry,Operations,Project Manager,61558,2017-02-27
1052,Thomas,Waters,HR,HR Manager,71074,2025-04-23
1053,Amy,Rangel,Marketing,Content Strategist,54919,2016-08-01
1054,Angela,Klein,Sales,Sales Associate,63890,2025-06-08
1055,William,Green,IT,Software Engineer,80978,2017-05-18
1056,David,Campbell,Marketing,SEO Specialist,58436,2016-08-24
